date,ground_beef_lb,chicken_whole_lb,bacon_lb,pork_chops_boneless_lb,cpi_all_items
1997-01-01,1.409,1.016,2.664,,159.1
1997-02-01,1.398,1.008,2.651,,159.6
1997-03-01,1.356,1.009,2.657,,160.0
1997-04-01,1.381,1.002,2.66,,160.2
1997-05-01,1.382,1.007,2.627,,160.1
1997-06-01,1.408,0.993,2.694,,160.3
1997-07-01,1.402,1.005,2.718,,160.5
1997-08-01,1.394,0.988,2.755,,160.8
1997-09-01,1.42,0.992,2.75,,161.2
1997-10-01,1.406,0.984,2.73,,161.6
1997-11-01,1.409,1.018,2.665,,161.5
1997-12-01,1.392,1.001,2.607,,161.3
1998-01-01,1.457,1.022,2.644,3.171,161.6
1998-02-01,1.398,1.007,2.623,3.134,161.9
1998-03-01,1.413,1.032,2.539,3.032,162.2
1998-04-01,1.419,1.029,2.444,3.098,162.5
1998-05-01,1.411,1.032,2.438,3.099,162.8
1998-06-01,1.388,1.016,2.457,3.138,163.0
1998-07-01,1.447,1.033,2.517,3.163,163.2
1998-08-01,1.426,1.059,2.513,3.154,163.4
1998-09-01,1.361,1.074,2.576,3.079,163.6
1998-10-01,1.393,1.076,2.567,3.062,164.0
1998-11-01,1.442,1.084,2.619,2.97,164.0
1998-12-01,1.388,1.06,2.58,2.934,163.9
1999-01-01,1.382,1.072,2.523,2.866,164.3
1999-02-01,1.431,1.064,2.52,2.99,164.5
1999-03-01,1.404,1.057,2.507,2.937,165.0
1999-04-01,1.429,1.057,2.445,2.951,166.2
1999-05-01,1.444,1.026,2.474,3.007,166.2
1999-06-01,1.448,1.041,2.504,3.026,166.2
1999-07-01,1.435,1.045,2.503,3.043,166.7
1999-08-01,1.442,1.043,2.543,3.066,167.1
1999-09-01,1.484,1.08,2.58,3.112,167.9
1999-10-01,1.496,1.055,2.57,3.057,168.2
1999-11-01,1.518,1.078,2.658,3.056,168.3
1999-12-01,1.528,1.053,2.752,3.061,168.3
2000-01-01,1.483,1.059,2.75,3.052,168.8
2000-02-01,1.516,1.046,2.871,3.097,169.8
2000-03-01,1.532,1.064,2.928,3.118,171.2
2000-04-01,1.584,1.069,2.953,3.134,171.3
2000-05-01,1.57,1.052,3.006,3.171,171.5
2000-06-01,1.556,1.069,3.132,3.162,172.4
2000-07-01,1.574,1.089,3.168,3.201,172.8
2000-08-01,1.611,1.086,3.2,3.249,172.8
2000-09-01,1.579,1.087,3.209,3.233,173.7
2000-10-01,1.582,1.09,3.069,3.234,174.0
2000-11-01,1.621,1.065,3.053,3.208,174.1
2000-12-01,1.625,1.078,3.028,3.242,174.0
2001-01-01,1.693,1.091,2.994,3.223,175.1
2001-02-01,1.732,1.09,3.065,3.248,175.8
2001-03-01,1.74,1.103,3.159,3.265,176.2
2001-04-01,1.763,1.101,3.114,3.295,176.9
2001-05-01,1.735,1.095,3.256,3.28,177.7
2001-06-01,1.703,1.106,3.253,3.316,178.0
2001-07-01,1.68,1.102,3.324,3.342,177.5
2001-08-01,1.634,1.11,3.468,3.376,177.5
2001-09-01,1.717,1.107,3.487,3.361,178.3
2001-10-01,1.713,1.115,3.338,3.329,177.7
2001-11-01,1.747,1.133,3.297,3.305,177.4
2001-12-01,1.713,1.109,3.3,3.307,176.7
2002-01-01,1.734,1.091,3.271,3.341,177.1
2002-02-01,1.7,1.111,3.317,3.292,177.8
2002-03-01,1.74,1.11,3.266,3.266,178.8
2002-04-01,1.784,1.11,3.257,3.207,179.8
2002-05-01,1.737,1.094,3.182,3.255,179.8
2002-06-01,1.719,1.066,3.193,3.241,179.9
2002-07-01,1.659,1.077,3.231,3.263,180.1
2002-08-01,1.669,1.035,3.269,3.246,180.7
2002-09-01,1.676,1.074,3.155,3.154,181.0
2002-10-01,1.721,1.027,3.24,3.108,181.3
2002-11-01,1.721,1.044,3.211,3.051,181.3
2002-12-01,1.693,1.048,3.242,3.106,180.9
2003-01-01,1.722,1.004,3.195,3.07,181.7
2003-02-01,1.778,1.031,3.281,3.117,183.1
2003-03-01,1.858,1.049,3.216,3.126,184.2
2003-04-01,1.855,1.053,3.287,3.157,183.8
2003-05-01,1.856,1.031,3.086,2.955,183.5
2003-06-01,1.932,1.033,3.136,2.976,183.7
2003-07-01,1.878,1.027,3.155,3.081,183.9
2003-08-01,2.006,1.023,3.229,3.022,184.6
2003-09-01,2.022,1.022,3.219,3.116,185.2
2003-10-01,2.01,1.022,3.161,3.177,185.0
2003-11-01,2.256,1.068,3.228,3.129,184.5
2003-12-01,2.232,1.05,3.182,3.069,184.3
2004-01-01,2.26,1.062,3.157,3.11,185.2
2004-02-01,2.25,1.06,3.189,3.123,186.2
2004-03-01,2.196,1.1,3.129,3.149,187.4
2004-04-01,2.089,1.12,3.196,3.113,188.0
2004-05-01,2.125,1.039,3.33,3.159,189.1
2004-06-01,2.078,1.06,3.42,3.308,189.7
2004-07-01,2.095,1.077,3.47,3.371,189.4
2004-08-01,2.13,1.092,3.622,3.291,189.5
2004-09-01,2.121,1.078,3.589,3.349,189.9
2004-10-01,2.21,1.078,3.606,3.191,190.9
2004-11-01,2.216,1.039,3.438,3.167,191.0
2004-12-01,2.14,1.03,3.369,3.106,190.3
2005-01-01,2.191,1.026,3.367,3.215,190.7
2005-02-01,2.229,1.038,3.395,3.18,191.8
2005-03-01,2.218,1.061,3.355,3.2,193.3
2005-04-01,2.309,1.07,3.331,3.209,194.6
2005-05-01,2.363,1.052,3.56,3.232,194.4
2005-06-01,2.338,1.075,3.457,3.306,194.5
2005-07-01,2.299,1.067,3.478,3.271,195.4
2005-08-01,2.422,1.042,3.442,3.28,196.4
2005-09-01,2.377,1.056,3.404,3.254,198.8
2005-10-01,2.206,1.062,3.327,3.212,199.2
2005-11-01,2.302,1.059,3.262,3.222,197.6
2005-12-01,2.303,1.061,3.327,3.179,196.8
2006-01-01,2.277,1.062,3.364,3.146,198.3
2006-02-01,2.188,1.045,3.385,3.211,198.7
2006-03-01,2.251,1.047,3.396,3.215,199.8
2006-04-01,2.228,1.054,3.343,3.168,201.5
2006-05-01,2.24,1.034,3.309,3.119,202.5
2006-06-01,2.237,1.055,3.399,3.14,202.9
2006-07-01,2.147,1.04,3.508,3.167,203.5
2006-08-01,2.213,1.048,3.559,3.17,203.9
2006-09-01,2.202,1.063,3.552,3.185,202.9
2006-10-01,2.206,1.038,3.61,3.1,201.8
2006-11-01,2.206,1.049,3.444,3.095,201.5
2006-12-01,2.259,1.057,3.458,3.036,201.8
2007-01-01,2.185,1.033,3.51,3.037,202.416
2007-02-01,2.304,1.039,3.566,3.049,203.499
2007-03-01,2.292,1.064,3.464,3.138,205.352
2007-04-01,2.254,1.115,3.496,3.152,206.686
2007-05-01,2.307,1.118,3.651,3.194,207.949
2007-06-01,2.333,1.134,3.657,3.229,208.352
2007-07-01,2.366,1.13,3.723,3.269,208.299
2007-08-01,2.395,1.145,3.798,3.207,207.917
2007-09-01,2.372,1.142,3.784,3.151,208.49
2007-10-01,2.26,1.135,3.883,3.163,208.936
2007-11-01,2.289,1.161,3.656,3.153,210.177
2007-12-01,2.234,1.166,3.688,3.153,210.036
2008-01-01,2.328,1.163,3.652,3.162,211.08
2008-02-01,2.381,1.159,3.62,3.109,211.693
2008-03-01,2.293,1.168,3.623,3.147,213.528
2008-04-01,2.323,1.176,3.554,3.156,214.823
2008-05-01,2.313,1.194,3.637,3.268,216.632
2008-06-01,2.269,1.181,3.655,3.374,218.815
2008-07-01,2.258,1.191,3.605,3.412,219.964
2008-08-01,2.371,1.223,3.842,3.383,219.086
2008-09-01,2.419,1.214,3.725,3.434,218.783
2008-10-01,2.402,1.205,3.745,3.333,216.573
2008-11-01,2.357,1.304,3.597,3.284,212.425
2008-12-01,2.406,1.305,3.67,3.268,210.228
2009-01-01,2.357,1.292,3.73,3.192,211.143
2009-02-01,2.436,1.29,3.62,3.166,212.193
2009-03-01,2.269,1.301,3.59,3.189,212.709
2009-04-01,2.251,1.296,3.581,3.13,213.24
2009-05-01,2.257,1.304,3.663,3.122,213.856
2009-06-01,2.234,1.282,3.621,3.163,215.693
2009-07-01,2.147,1.261,3.64,3.167,215.351
2009-08-01,2.134,1.287,3.588,3.191,215.834
2009-09-01,2.138,1.258,3.592,3.107,215.969
2009-10-01,2.177,1.244,3.603,3.096,216.177
2009-11-01,2.062,1.256,3.498,2.998,216.33
2009-12-01,2.186,1.267,3.57,3.017,215.949
2010-01-01,2.279,1.265,3.63,3.078,216.687
2010-02-01,2.277,1.265,3.642,3.21,216.741
2010-03-01,2.24,1.231,3.669,3.066,217.631
