report_date,market,price,national_index,n_markets,basis
2000-01-07,Kalona,67.6875,75.87083333333334,3,-8.183333333333337
2000-01-07,Midwest,81.675,75.87083333333334,3,5.80416666666666
2000-01-07,San Angelo,78.25,75.87083333333334,3,2.379166666666663
2000-03-03,Kalona,76.1875,80.496875,4,-4.309375000000003
2000-03-03,Midwest,89.55,80.496875,4,9.053124999999994
2000-03-03,San Angelo,82.0,80.496875,4,1.5031249999999972
2000-03-03,South Dakota,74.25,80.496875,4,-6.246875000000003
2000-06-09,Kalona,90.0,83.9375,3,6.0625
2000-06-09,Midwest,89.5625,83.9375,3,5.625
2000-06-09,San Angelo,72.25,83.9375,3,-11.6875
2000-12-08,Kalona,67.75,74.09166666666667,3,-6.341666666666669
2000-12-08,Midwest,79.025,74.09166666666667,3,4.933333333333337
2000-12-08,San Angelo,75.5,74.09166666666667,3,1.4083333333333314
2002-10-18,Kalona,82.875,77.08333333333333,3,5.791666666666671
2002-10-18,Midwest,72.625,77.08333333333333,3,-4.458333333333329
2002-10-18,San Angelo,75.75,77.08333333333333,3,-1.3333333333333286
2002-11-29,Kalona,85.125,80.3125,2,4.8125
2002-11-29,Midwest,75.5,80.3125,2,-4.8125
2003-02-07,Kalona,92.1875,89.40625,4,2.78125
2003-02-07,Midwest,88.4375,89.40625,4,-0.96875
2003-02-07,Missouri,86.5,89.40625,4,-2.90625
2003-02-07,San Angelo,90.5,89.40625,4,1.09375
2003-04-11,Kalona,95.75,91.16666666666667,3,4.583333333333329
2003-04-11,Midwest,92.75,91.16666666666667,3,1.5833333333333286
2003-04-11,San Angelo,85.0,91.16666666666667,3,-6.166666666666671
2003-10-10,Kalona,98.5,88.05,5,10.450000000000003
2003-10-10,Midwest,83.0,88.05,5,-5.049999999999997
2003-10-10,Missouri,83.0,88.05,5,-5.049999999999997
2003-10-10,San Angelo,90.0,88.05,5,1.9500000000000028
2003-10-10,South Dakota,85.75,88.05,5,-2.299999999999997
2003-12-05,Kalona,105.75,92.65,5,13.099999999999994
2003-12-05,Midwest,86.25,92.65,5,-6.400000000000006
2003-12-05,Missouri,87.5,92.65,5,-5.150000000000006
2003-12-05,San Angelo,96.0,92.65,5,3.3499999999999943
2003-12-05,South Dakota,87.75,92.65,5,-4.900000000000006
2004-02-06,Kalona,120.0,103.27083333333333,4,16.72916666666667
2004-02-06,Midwest,102.33333333333333,103.27083333333333,4,-0.9375
2004-02-06,Missouri,89.5,103.27083333333333,4,-13.770833333333329
2004-02-06,San Angelo,101.25,103.27083333333333,4,-2.0208333333333286
2004-05-28,Eastern Area,110.5,99.75,5,10.75
2004-05-28,Kalona,101.875,99.75,5,2.125
2004-05-28,Midwest,95.875,99.75,5,-3.875
2004-05-28,San Angelo,98.5,99.75,5,-1.25
2004-05-28,South Dakota,92.0,99.75,5,-7.75
2004-12-03,Kalona,98.375,102.8888888888889,3,-4.5138888888889
2004-12-03,Midwest,109.79166666666667,102.8888888888889,3,6.9027777777777715
2004-12-03,San Angelo,100.5,102.8888888888889,3,-2.3888888888889
2005-02-04,Eastern Area,145.0,121.73333333333332,5,23.26666666666668
2005-02-04,Kalona,126.83333333333333,121.73333333333332,5,5.1000000000000085
2005-02-04,Midwest,117.70833333333333,121.73333333333332,5,-4.0249999999999915
2005-02-04,Missouri,103.25,121.73333333333332,5,-18.48333333333332
2005-02-04,San Angelo,115.875,121.73333333333332,5,-5.85833333333332
2005-04-01,Eastern Area,121.0,113.54166666666667,3,7.458333333333329
2005-04-01,Midwest,106.125,113.54166666666667,3,-7.416666666666671
2005-04-01,San Angelo,113.5,113.54166666666667,3,-0.041666666666671404
2005-07-01,Eastern Area,111.0,110.9375,4,0.0625
2005-07-01,Kalona,120.25,110.9375,4,9.3125
2005-07-01,Midwest,110.0,110.9375,4,-0.9375
2005-07-01,San Angelo,102.5,110.9375,4,-8.4375
2005-07-08,Eastern Area,114.5,116.0625,4,-1.5625
2005-07-08,Kalona,113.0,116.0625,4,-3.0625
