report_date,market,section,species,grade,head,wt_lo,wt_hi,avg_wt,price_lo,price_hi,avg_price
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice and Prime 1-3 (Per Cwt / Actual Wt),14,51,59,56.0,315.0,350.0,328.77
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice and Prime 1-3 (Per Cwt / Actual Wt),37,60,69,67.0,314.0,341.0,321.59
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice and Prime 1-3 (Per Cwt / Actual Wt),83,71,78,74.0,290.0,336.0,311.59
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice and Prime 1-3 (Per Cwt / Actual Wt),67,80,88,82.0,297.0,312.0,305.73
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice and Prime 1-3 (Per Cwt / Actual Wt),20,96,97,97.0,282.0,310.0,291.73
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice and Prime 1-3 (Per Cwt / Actual Wt),22,100,107,103.0,259.0,282.0,273.27
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice 1-3 (Per Cwt / Actual Wt),2,53,53,53.0,295.0,295.0,295.0
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice 1-3 (Per Cwt / Actual Wt),3,60,60,60.0,287.0,287.0,287.0
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice 1-3 (Per Cwt / Actual Wt),6,73,78,75.0,279.0,280.0,279.65
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice 1-3 (Per Cwt / Actual Wt),17,84,84,84.0,274.0,274.0,274.0
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,WOOLED & SHORN - Choice 1-3 (Per Cwt / Actual Wt),4,90,97,95.0,251.0,262.0,259.4
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,HAIR BREEDS - Choice and Prime 1-3 (Per Cwt / Actual Wt),8,34,34,34.0,380.0,380.0,380.0
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,HAIR BREEDS - Choice and Prime 1-3 (Per Cwt / Actual Wt),35,43,49,46.0,337.0,395.0,353.05
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,HAIR BREEDS - Choice and Prime 1-3 (Per Cwt / Actual Wt),118,50,59,55.0,325.0,355.0,345.85
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,HAIR BREEDS - Choice and Prime 1-3 (Per Cwt / Actual Wt),205,60,68,64.0,320.0,355.0,340.16
2026-08-04,San Angelo,slaughter_sheep/lambs,sheep,HAIR BREEDS - Choice and Prime 1-3 (Per Cwt / Actual Wt),297,70,79,74.0,289.0,340.0,316.98
2026-08-04,San Angelo,slaughter_goats,goat,,174,80,88,84.0,280.0,321.0,293.93
2026-08-04,San Angelo,slaughter_goats,goat,,79,90,98,94.0,277.0,310.0,290.25
2026-08-04,San Angelo,slaughter_goats,goat,,55,100,108,104.0,257.0,300.0,276.38
2026-08-04,San Angelo,slaughter_goats,goat,,46,110,119,114.0,245.0,282.0,263.69
2026-08-04,San Angelo,slaughter_goats,goat,,7,125,125,125.0,270.0,270.0,270.0
2026-08-04,San Angelo,slaughter_goats,goat,,4,150,150,150.0,227.0,227.0,227.0
2026-08-04,San Angelo,slaughter_goats,goat,HAIR BREEDS - Choice 1-3 (Per Cwt / Actual Wt),24,35,38,37.0,320.0,330.0,327.65
2026-08-04,San Angelo,slaughter_goats,goat,HAIR BREEDS - Choice 1-3 (Per Cwt / Actual Wt),28,54,58,56.0,297.0,315.0,308.59
2026-08-04,San Angelo,slaughter_goats,goat,HAIR BREEDS - Choice 1-3 (Per Cwt / Actual Wt),100,60,69,64.0,280.0,313.0,306.3
2026-08-04,San Angelo,slaughter_goats,goat,HAIR BREEDS - Choice 1-3 (Per Cwt / Actual Wt),1,70,70,70.0,272.0,272.0,272.0
2026-08-04,San Angelo,slaughter_goats,goat,HAIR BREEDS - Choice 1-3 (Per Cwt / Actual Wt),64,83,89,87.0,250.0,279.0,276.02
2026-08-04,San Angelo,slaughter_goats,goat,HAIR BREEDS - Choice 1-3 (Per Cwt / Actual Wt),20,94,98,95.0,262.0,264.0,263.69
2026-08-04,San Angelo,slaughter_goats,goat,EWES - Good 2-3 (Per Cwt / Actual Wt),1,95,95,95.0,120.0,120.0,120.0
2026-08-04,San Angelo,slaughter_goats,goat,EWES - Good 2-3 (Per Cwt / Actual Wt),46,108,148,126.0,129.0,167.0,156.52
2026-08-04,San Angelo,slaughter_goats,goat,EWES - Good 2-3 (Per Cwt / Actual Wt),12,163,185,171.0,149.0,161.0,156.88
2026-08-04,San Angelo,slaughter_goats,goat,HAIR EWES - Good 2-3 (Per Cwt / Actual Wt),95,100,140,124.0,113.0,177.0,145.36
2026-08-04,San Angelo,slaughter_goats,goat,HAIR EWES - Good 2-3 (Per Cwt / Actual Wt),28,152,183,166.0,120.0,159.0,140.73
2026-08-04,San Angelo,slaughter_goats,goat,BUCKS - 1-2 (Per Cwt / Actual Wt),5,138,138,138.0,170.0,170.0,170.0
2026-08-04,San Angelo,slaughter_goats,goat,BUCKS - 1-2 (Per Cwt / Actual Wt),32,155,190,166.0,155.0,165.0,161.42
